order_id,delivery_days,on_time
ORD0000000,3.9,True
ORD0000001,5.63,True
ORD0000002,4.53,False
ORD0000003,2.47,False
ORD0000004,3.75,True
ORD0000005,2.24,True
ORD0000006,3.6,True
ORD0000007,4.4,True
ORD0000008,3.26,True
ORD0000009,1.69,True
ORD0000010,1.91,True
ORD0000011,2.7,True
ORD0000012,3.5,True
ORD0000013,4.07,True
ORD0000014,5.64,True
ORD0000015,4.38,True
ORD0000016,3.95,True
ORD0000017,6.16,True
ORD0000018,3.21,True
ORD0000019,3.52,True
ORD0000020,3.62,True
ORD0000021,2.35,True
ORD0000022,3.13,True
ORD0000023,2.78,True
ORD0000024,4.08,True
ORD0000025,4.57,True
ORD0000026,5.1,False
ORD0000027,4.52,True
ORD0000028,4.92,True
ORD0000029,5.14,True
ORD0000030,5.32,True
ORD0000031,2.26,True
ORD0000032,2.0,True
ORD0000033,2.07,True
ORD0000034,5.21,True
ORD0000035,4.56,True
ORD0000036,1.43,True
ORD0000037,4.53,True
ORD0000038,5.1,True
ORD0000039,3.3,True
ORD0000040,2.83,True
ORD0000041,1.85,False
ORD0000042,1.6,True
ORD0000043,1.5,True
ORD0000044,1.27,True
ORD0000045,4.41,True
ORD0000046,3.21,True
ORD0000047,1.04,True
ORD0000048,3.51,True
ORD0000049,4.19,True
ORD0000050,3.92,False
ORD0000051,3.77,True
ORD0000052,2.65,True
ORD0000053,4.94,False
ORD0000054,5.6,True
ORD0000055,4.01,True
ORD0000056,4.81,True
ORD0000057,5.18,True
ORD0000058,2.3,True
ORD0000059,5.25,True
ORD0000060,1.94,True
ORD0000061,2.12,True
ORD0000062,4.23,True
ORD0000063,6.58,True
ORD0000064,3.94,False
ORD0000065,5.65,True
ORD0000066,3.56,True
ORD0000067,2.72,True
ORD0000068,2.68,False
ORD0000069,5.2,True
ORD0000070,5.06,True
ORD0000071,5.94,True
ORD0000072,3.36,True
ORD0000073,3.92,True
ORD0000074,4.17,True
ORD0000075,4.45,True
ORD0000076,6.1,True
ORD0000077,2.57,True
ORD0000078,1.81,True
ORD0000079,4.0,True
ORD0000080,3.75,True
ORD0000081,4.14,True
ORD0000082,5.5,True
ORD0000083,3.83,True
ORD0000084,1.74,True
ORD0000085,2.5,True
ORD0000086,1.74,True
ORD0000087,5.26,True
ORD0000088,0.59,True
ORD0000089,2.47,False
ORD0000090,5.39,True
ORD0000091,2.28,True
ORD0000092,5.25,True
ORD0000093,3.42,True
ORD0000094,1.26,True
ORD0000095,5.84,False
ORD0000096,2.27,True
ORD0000097,5.72,True
ORD0000098,3.74,True
ORD0000099,5.57,True
ORD0000100,2.02,True
ORD0000101,4.55,True
ORD0000102,2.79,True
ORD0000103,3.32,True
ORD0000104,4.48,True
ORD0000105,3.94,True
ORD0000106,3.28,True
ORD0000107,5.6,True
ORD0000108,3.89,True
ORD0000109,2.3,True
ORD0000110,4.89,False
ORD0000111,4.08,True
ORD0000112,2.16,True
ORD0000113,5.51,False
ORD0000114,2.76,True
ORD0000115,0.51,True
ORD0000116,4.5,False
ORD0000117,2.28,True
ORD0000118,5.25,False
ORD0000119,4.28,True
ORD0000120,2.09,True
ORD0000121,4.66,True
ORD0000122,6.01,True
ORD0000123,4.72,True
ORD0000124,1.76,False
ORD0000125,4.54,True
ORD0000126,5.18,True
ORD0000127,3.79,False
ORD0000128,6.45,True
ORD0000129,5.3,True
ORD0000130,5.33,True
ORD0000131,3.26,True
ORD0000132,5.23,True
ORD0000133,2.75,True
ORD0000134,4.2,True
ORD0000135,3.01,True
ORD0000136,2.52,True
ORD0000137,3.14,True
ORD0000138,3.99,True
ORD0000139,2.84,True
ORD0000140,2.98,True
ORD0000141,4.57,True
ORD0000142,2.2,True
ORD0000143,1.23,True
ORD0000144,4.36,True
ORD0000145,2.13,True
ORD0000146,5.23,True
ORD0000147,4.56,True
ORD0000148,3.61,True
ORD0000149,4.38,True
ORD0000150,4.53,True
ORD0000151,1.36,True
ORD0000152,4.47,True
ORD0000153,2.52,True
ORD0000154,5.85,True
ORD0000155,2.19,True
ORD0000156,2.44,True
ORD0000157,5.21,True
ORD0000158,4.99,True
ORD0000159,5.49,True
ORD0000160,2.94,True
ORD0000161,3.56,True
ORD0000162,6.09,True
ORD0000163,6.26,True
ORD0000164,5.66,True
ORD0000165,4.72,True
ORD0000166,1.15,True
ORD0000167,1.06,True
ORD0000168,5.66,True
ORD0000169,5.2,False
ORD0000170,4.16,True
ORD0000171,4.47,True
ORD0000172,1.68,True
ORD0000173,1.28,True
ORD0000174,4.83,True
ORD0000175,5.37,True
ORD0000176,1.06,False
ORD0000177,4.88,True
ORD0000178,2.46,True
ORD0000179,1.24,True
ORD0000180,1.33,True
ORD0000181,4.44,True
ORD0000182,1.14,True
ORD0000183,5.71,True
ORD0000184,3.45,False
ORD0000185,3.95,True
ORD0000186,2.11,True
ORD0000187,5.46,True
ORD0000188,4.22,True
ORD0000189,3.76,True
ORD0000190,4.03,True
ORD0000191,4.36,True
ORD0000192,5.49,True
ORD0000193,4.23,True
ORD0000194,4.91,False
ORD0000195,3.82,False
ORD0000196,2.75,True
ORD0000197,2.73,False
ORD0000198,1.55,True
ORD0000199,5.32,True
ORD0000200,5.55,True
ORD0000201,3.58,True
ORD0000202,2.6,True
ORD0000203,3.97,True
ORD0000204,4.87,True
ORD0000205,5.66,True
ORD0000206,4.54,True
ORD0000207,4.37,True
ORD0000208,2.45,True
ORD0000209,5.68,True
ORD0000210,4.51,True
ORD0000211,2.54,True
ORD0000212,1.98,True
ORD0000213,5.04,True
ORD0000214,4.31,True
ORD0000215,4.36,True
ORD0000216,5.68,True
ORD0000217,5.85,True
ORD0000218,4.3,True
ORD0000219,3.74,False
ORD0000220,1.49,True
ORD0000221,4.3,True
ORD0000222,5.5,True
ORD0000223,2.27,True
ORD0000224,4.81,True
ORD0000225,3.65,True
ORD0000226,5.86,True
ORD0000227,4.44,False
ORD0000228,3.41,False
ORD0000229,2.51,True
ORD0000230,5.22,True
ORD0000231,5.89,True
ORD0000232,6.13,True
ORD0000233,5.59,True
ORD0000234,3.63,True
ORD0000235,4.09,True
ORD0000236,2.76,False
ORD0000237,5.68,True
ORD0000238,2.26,True
ORD0000239,3.07,True
ORD0000240,2.97,True
ORD0000241,2.64,True
ORD0000242,4.01,True
ORD0000243,4.02,False
ORD0000244,5.51,True
ORD0000245,4.39,False
ORD0000246,4.94,True
ORD0000247,5.58,True
ORD0000248,4.61,False
ORD0000249,2.4,True
ORD0000250,3.97,True
ORD0000251,3.92,True
ORD0000252,4.68,True
ORD0000253,1.8,True
ORD0000254,2.37,True
ORD0000255,2.24,True
ORD0000256,5.07,True
ORD0000257,5.15,True
ORD0000258,4.95,True
ORD0000259,5.61,False
ORD0000260,1.07,True
ORD0000261,4.06,True
ORD0000262,3.85,True
ORD0000263,4.31,True
ORD0000264,4.33,False
ORD0000265,5.86,True
ORD0000266,2.92,True
ORD0000267,4.5,True
ORD0000268,4.96,True
ORD0000269,1.63,True
ORD0000270,1.99,True
ORD0000271,2.78,True
ORD0000272,4.21,True
ORD0000273,3.68,True
ORD0000274,4.42,True
ORD0000275,4.06,True
ORD0000276,2.32,False
ORD0000277,2.91,True
ORD0000278,1.88,True
ORD0000279,5.26,True
ORD0000280,1.66,True
ORD0000281,5.04,False
ORD0000282,2.17,True
