order_id,customer_id,order_date,status
ORD0000000,CUST005415,2024-05-08 22:48:36,delivered
ORD0000001,CUST002461,2024-12-27 07:34:36,delivered
ORD0000002,CUST007945,2025-02-19 15:19:59,delivered
ORD0000003,CUST001343,2025-03-03 16:46:09,delivered
ORD0000004,CUST005673,2025-04-08 16:09:41,delivered
ORD0000005,CUST002762,2025-02-01 16:52:34,cancelled
ORD0000006,CUST005812,2025-01-07 12:17:56,delivered
ORD0000007,CUST005980,2024-11-29 14:31:22,delivered
ORD0000008,CUST002228,2024-05-16 19:17:39,delivered
ORD0000009,CUST003367,2024-07-29 08:57:24,delivered
ORD0000010,CUST005775,2024-08-10 06:57:10,delivered
ORD0000011,CUST000943,2025-08-05 07:05:06,delivered
ORD0000012,CUST004988,2025-11-06 22:31:57,delivered
ORD0000013,CUST004156,2025-01-07 16:52:15,delivered
ORD0000014,CUST004059,2025-07-15 14:51:44,delivered
ORD0000015,CUST005328,2025-01-18 23:26:50,delivered
ORD0000016,CUST000165,2024-11-10 07:46:25,delivered
ORD0000017,CUST001905,2025-02-06 05:08:44,delivered
ORD0000018,CUST003056,2025-04-26 03:57:20,delivered
ORD0000019,CUST001323,2025-07-09 23:44:50,delivered
ORD0000020,CUST004750,2025-04-08 10:56:03,returned
ORD0000021,CUST000350,2025-09-30 15:00:17,delivered
ORD0000022,CUST007228,2024-02-22 07:15:37,delivered
ORD0000023,CUST002310,2024-08-10 12:17:40,delivered
ORD0000024,CUST006267,2025-07-18 05:42:21,delivered
ORD0000025,CUST003309,2025-11-06 13:59:29,cancelled
ORD0000026,CUST005661,2025-06-13 15:43:14,returned
ORD0000027,CUST000931,2024-07-03 16:07:42,delivered
ORD0000028,CUST003838,2024-01-25 07:31:00,delivered
ORD0000029,CUST006000,2025-01-30 20:39:29,delivered
ORD0000030,CUST001113,2025-11-14 06:16:29,delivered
ORD0000031,CUST002186,2024-10-06 20:30:41,delivered
ORD0000032,CUST001989,2024-06-08 23:20:48,delivered
ORD0000033,CUST001385,2025-02-15 20:56:15,delivered
ORD0000034,CUST003484,2024-07-21 05:29:10,delivered
ORD0000035,CUST007003,2025-02-25 11:31:23,delivered
ORD0000036,CUST007886,2025-04-24 08:56:44,delivered
ORD0000037,CUST001116,2024-05-13 17:43:10,delivered
ORD0000038,CUST000133,2024-11-19 22:13:20,delivered
ORD0000039,CUST003951,2025-09-19 19:19:05,delivered
ORD0000040,CUST001227,2025-10-05 01:17:07,delivered
ORD0000041,CUST006962,2025-11-23 03:32:02,delivered
ORD0000042,CUST005967,2024-03-07 03:07:19,delivered
ORD0000043,CUST007789,2024-01-22 00:18:56,delivered
ORD0000044,CUST003109,2024-02-24 12:04:11,delivered
ORD0000045,CUST005113,2024-04-02 11:24:24,delivered
ORD0000046,CUST002504,2024-12-31 07:23:28,delivered
ORD0000047,CUST003605,2024-06-03 07:45:19,delivered
ORD0000048,CUST007904,2024-11-10 02:24:13,delivered
ORD0000049,CUST001881,2025-01-06 22:41:28,delivered
ORD0000050,CUST004533,2024-11-19 21:14:33,delivered
ORD0000051,CUST000679,2025-04-02 17:17:50,delivered
ORD0000052,CUST002694,2024-12-12 06:22:46,delivered
ORD0000053,CUST002669,2024-10-23 11:02:26,delivered
ORD0000054,CUST001247,2024-04-13 20:27:27,delivered
ORD0000055,CUST001191,2024-06-12 05:32:05,delivered
ORD0000056,CUST001130,2024-06-16 15:06:59,delivered
ORD0000057,CUST001403,2024-05-01 19:22:50,delivered
ORD0000058,CUST002071,2025-09-25 14:54:57,delivered
ORD0000059,CUST005630,2024-06-11 20:26:58,cancelled
ORD0000060,CUST006952,2025-07-19 22:53:22,delivered
ORD0000061,CUST001330,2025-04-25 10:14:21,delivered
ORD0000062,CUST005030,2025-12-07 09:04:48,delivered
ORD0000063,CUST001381,2024-04-26 05:20:21,delivered
ORD0000064,CUST000369,2025-03-31 03:32:03,delivered
ORD0000065,CUST005092,2024-02-10 04:56:13,delivered
ORD0000066,CUST003794,2025-01-25 17:12:52,cancelled
ORD0000067,CUST006314,2025-01-23 17:21:45,delivered
ORD0000068,CUST005700,2024-06-23 00:43:35,delivered
ORD0000069,CUST006365,2025-08-23 13:11:38,delivered
ORD0000070,CUST002490,2025-03-27 21:17:42,delivered
ORD0000071,CUST001176,2025-08-08 06:37:13,delivered
ORD0000072,CUST007005,2025-04-03 00:43:22,delivered
ORD0000073,CUST000375,2025-05-18 20:38:09,delivered
ORD0000074,CUST006424,2024-12-18 12:22:15,delivered
ORD0000075,CUST002760,2024-03-28 13:28:12,delivered
ORD0000076,CUST003290,2024-03-11 06:27:10,delivered
ORD0000077,CUST001943,2024-05-18 22:43:13,cancelled
ORD0000078,CUST000957,2024-11-03 14:19:52,delivered
ORD0000079,CUST007783,2024-06-02 04:02:25,delivered
ORD0000080,CUST000810,2025-11-15 07:10:38,delivered
ORD0000081,CUST004922,2025-10-11 11:40:34,delivered
ORD0000082,CUST005941,2024-10-26 03:01:28,delivered
ORD0000083,CUST006629,2024-12-29 21:56:51,delivered
ORD0000084,CUST001533,2025-05-21 00:34:51,delivered
ORD0000085,CUST004430,2025-09-28 21:29:34,delivered
ORD0000086,CUST006885,2025-03-03 06:09:19,delivered
ORD0000087,CUST000409,2025-01-08 09:12:03,delivered
ORD0000088,CUST000053,2024-07-15 18:41:35,delivered
ORD0000089,CUST004796,2024-10-13 18:56:54,delivered
ORD0000090,CUST005853,2024-01-25 17:49:34,delivered
ORD0000091,CUST001098,2024-11-22 06:04:33,delivered
ORD0000092,CUST002396,2024-02-23 23:38:38,delivered
ORD0000093,CUST000974,2024-09-01 11:09:51,delivered
ORD0000094,CUST007851,2024-09-26 16:20:42,delivered
ORD0000095,CUST004488,2025-03-19 12:17:19,delivered
ORD0000096,CUST004649,2024-02-11 09:56:01,delivered
ORD0000097,CUST007324,2025-11-03 16:40:42,delivered
ORD0000098,CUST002894,2025-11-06 02:55:17,cancelled
ORD0000099,CUST006224,2024-12-06 20:04:16,delivered
ORD0000100,CUST003279,2024-02-02 04:45:24,delivered
ORD0000101,CUST004921,2025-10-01 00:23:19,delivered
ORD0000102,CUST007253,2025-08-10 00:41:58,cancelled
ORD0000103,CUST004839,2024-11-05 13:51:35,delivered
ORD0000104,CUST005566,2024-07-23 17:06:59,delivered
ORD0000105,CUST002224,2025-01-24 14:08:27,delivered
ORD0000106,CUST002558,2024-02-06 09:50:26,delivered
ORD0000107,CUST003690,2025-12-14 13:39:30,delivered
ORD0000108,CUST000138,2024-12-09 13:21:16,delivered
ORD0000109,CUST003173,2025-06-08 15:27:21,delivered
ORD0000110,CUST002520,2025-02-20 12:27:23,delivered
ORD0000111,CUST005941,2024-05-15 12:36:22,delivered
ORD0000112,CUST004637,2024-09-24 20:06:41,delivered
ORD0000113,CUST002241,2024-07-16 17:47:51,delivered
ORD0000114,CUST005952,2024-10-15 09:42:33,delivered
ORD0000115,CUST003827,2024-03-26 16:22:45,delivered
ORD0000116,CUST006629,2025-11-18 03:05:14,delivered
ORD0000117,CUST001337,2025-11-13 11:36:01,delivered
ORD0000118,CUST004089,2025-06-05 04:07:59,delivered
ORD0000119,CUST005816,2024-01-24 04:40:46,delivered
ORD0000120,CUST002852,2024-04-19 08:50:45,delivered
ORD0000121,CUST002294,2024-03-17 06:26:53,delivered
ORD0000122,CUST002677,2025-01-17 02:21:54,delivered
ORD0000123,CUST006581,2024-06-06 20:49:21,delivered
ORD0000124,CUST000072,2024-08-30 03:10:53,delivered
ORD0000125,CUST007236,2024-03-18 00:21:04,delivered
ORD0000126,CUST006897,2024-01-14 12:25:13,delivered
ORD0000127,CUST007319,2025-09-24 02:33:45,delivered
ORD0000128,CUST002878,2024-06-08 21:13:02,delivered
ORD0000129,CUST002141,2025-10-03 16:46:33,returned
ORD0000130,CUST004530,2025-10-08 12:02:51,delivered
ORD0000131,CUST001806,2025-11-11 03:51:11,delivered
ORD0000132,CUST002045,2025-09-19 04:26:27,delivered
ORD0000133,CUST003502,2024-02-27 05:03:01,delivered
ORD0000134,CUST004552,2024-07-23 02:57:17,delivered
ORD0000135,CUST003501,2024-07-09 03:20:19,delivered
ORD0000136,CUST002276,2024-04-03 00:08:23,delivered
ORD0000137,CUST002077,2025-03-19 08:29:09,delivered
ORD0000138,CUST001648,2024-08-03 01:49:13,delivered
ORD0000139,CUST000334,2024-03-22 14:05:11,delivered
ORD0000140,CUST004755,2024-11-24 22:46:19,delivered
ORD0000141,CUST004664,2025-06-26 07:00:49,delivered
ORD0000142,CUST004272,2025-05-02 07:11:00,delivered
ORD0000143,CUST002871,2025-12-26 18:02:00,delivered
ORD0000144,CUST002615,2025-09-11 06:46:27,returned
ORD0000145,CUST006552,2025-04-25 10:29:17,delivered
ORD0000146,CUST004872,2025-11-23 21:32:49,returned
ORD0000147,CUST005356,2024-03-03 16:06:41,delivered
ORD0000148,CUST005397,2024-07-08 18:28:50,delivered
ORD0000149,CUST004172,2024-01-07 02:53:47,delivered
ORD0000150,CUST000932,2024-06-29 07:11:55,delivered
ORD0000151,CUST000635,2024-09-26 05:14:20,delivered
ORD0000152,CUST006683,2025-07-09 20:57:03,delivered
ORD0000153,CUST005773,2024-07-12 04:30:54,delivered
ORD0000154,CUST003229,2025-12-20 02:45:32,delivered
ORD0000155,CUST001190,2024-07-11 06:48:36,delivered
ORD0000156,CUST007352,2024-11-25 08:17:27,delivered
ORD0000157,CUST005508,2024-06-15 14:22:09,delivered
ORD0000158,CUST000011,2025-10-12 21:33:55,delivered
ORD0000159,CUST004002,2024-10-30 21:54:06,delivered
ORD0000160,CUST006312,2025-02-26 18:26:48,delivered
ORD0000161,CUST004926,2025-10-17 10:23:28,cancelled
ORD0000162,CUST001449,2024-08-11 15:31:45,delivered
ORD0000163,CUST000448,2024-09-13 12:33:08,delivered
ORD0000164,CUST007661,2024-09-03 19:19:00,delivered
ORD0000165,CUST002496,2024-01-08 23:50:31,cancelled
ORD0000166,CUST007273,2025-11-30 09:09:46,delivered
ORD0000167,CUST005885,2024-10-15 05:52:17,delivered
ORD0000168,CUST000426,2024-03-07 02:14:36,delivered
ORD0000169,CUST007099,2024-03-05 17:58:59,delivered
ORD0000170,CUST000915,2024-12-18 02:11:57,delivered
ORD0000171,CUST003169,2025-09-26 15:39:33,delivered
ORD0000172,CUST004726,2024-03-22 16:14:09,delivered
ORD0000173,CUST004321,2024-01-13 03:12:44,delivered
ORD0000174,CUST000446,2024-11-22 21:24:48,delivered
ORD0000175,CUST001910,2025-01-05 22:02:44,cancelled
ORD0000176,CUST003735,2025-11-25 02:23:54,delivered
