order_id,method,amount
ORD0000000,Net Banking,1477.1
ORD0000001,Cash on Delivery,2382.61
ORD0000002,UPI,2256.72
ORD0000003,UPI,1473.69
ORD0000004,Net Banking,552.83
ORD0000005,Cash on Delivery,371.59
ORD0000006,Wallet,2327.22
ORD0000007,UPI,641.66
ORD0000008,UPI,2422.39
ORD0000009,Card,290.89
ORD0000010,Cash on Delivery,1552.33
ORD0000011,Cash on Delivery,1726.35
ORD0000012,UPI,3316.48
ORD0000013,UPI,5316.37
ORD0000014,Wallet,566.25
ORD0000015,UPI,944.26
ORD0000016,UPI,1744.76
ORD0000017,Net Banking,1461.26
ORD0000018,UPI,522.9
ORD0000019,Cash on Delivery,1971.23
ORD0000020,Net Banking,1940.0900000000001
ORD0000021,UPI,715.66
ORD0000022,Cash on Delivery,2469.07
ORD0000023,UPI,4505.43
ORD0000024,UPI,270.66
ORD0000025,Card,3765.81
ORD0000026,Cash on Delivery,889.25
ORD0000027,UPI,562.99
ORD0000028,UPI,578.68
ORD0000029,UPI,841.75
ORD0000030,Cash on Delivery,2372.14
ORD0000031,Wallet,1828.67
ORD0000032,Cash on Delivery,355.23
ORD0000033,Wallet,2341.04
ORD0000034,Cash on Delivery,696.67
ORD0000035,Cash on Delivery,1696.84
ORD0000036,UPI,439.35
ORD0000037,Cash on Delivery,948.38
ORD0000038,Net Banking,2047.15
ORD0000039,UPI,950.8199999999999
ORD0000040,Card,1048.96
ORD0000041,Cash on Delivery,1069.8
ORD0000042,UPI,1147.9
ORD0000043,UPI,2383.69
ORD0000044,UPI,4730.76
ORD0000045,Card,650.74
ORD0000046,Cash on Delivery,2218.92
ORD0000047,Cash on Delivery,4099.56
ORD0000048,Cash on Delivery,2930.33
ORD0000049,UPI,1300.02
ORD0000050,Card,3247.89
ORD0000051,Cash on Delivery,372.42
ORD0000052,Wallet,2253.5
ORD0000053,Cash on Delivery,4596.57
ORD0000054,Cash on Delivery,443.14
ORD0000055,UPI,4524.83
ORD0000056,UPI,1279.17
ORD0000057,UPI,1318.32
ORD0000058,Cash on Delivery,2081.04
ORD0000059,Wallet,1226.62
ORD0000060,Wallet,817.0999999999999
ORD0000061,UPI,183.75
ORD0000062,UPI,337.72
ORD0000063,Cash on Delivery,2781.71
ORD0000064,UPI,779.0
ORD0000065,Net Banking,1231.07
ORD0000066,UPI,4606.73
ORD0000067,UPI,1221.7
ORD0000068,Cash on Delivery,304.04
ORD0000069,Card,158.79
ORD0000070,UPI,2062.58
ORD0000071,Card,5302.66
ORD0000072,UPI,3507.01
ORD0000073,UPI,6679.59
ORD0000074,Card,761.97
ORD0000075,Cash on Delivery,349.49
ORD0000076,UPI,2854.77
ORD0000077,Cash on Delivery,588.36
ORD0000078,Card,1718.46
ORD0000079,UPI,2120.52
ORD0000080,UPI,1137.16
ORD0000081,Card,1739.73
ORD0000082,Cash on Delivery,1728.7200000000003
ORD0000083,Wallet,1092.31
ORD0000084,Cash on Delivery,3138.85
ORD0000085,UPI,1076.47
ORD0000086,UPI,349.89
ORD0000087,Cash on Delivery,5446.56
ORD0000088,UPI,1424.97
ORD0000089,UPI,1305.86
ORD0000090,UPI,3087.96
ORD0000091,Cash on Delivery,1782.57
ORD0000092,Card,425.83
ORD0000093,Card,168.67
ORD0000094,Wallet,716.18
ORD0000095,UPI,4367.22
ORD0000096,UPI,844.71
ORD0000097,UPI,1627.8899999999999
ORD0000098,UPI,2641.42
ORD0000099,Cash on Delivery,1252.45
ORD0000100,Wallet,260.52
ORD0000101,UPI,552.58
ORD0000102,UPI,2033.91
ORD0000103,Cash on Delivery,717.38
ORD0000104,UPI,5962.41
ORD0000105,Cash on Delivery,1884.6599999999999
ORD0000106,UPI,1407.5900000000001
ORD0000107,Net Banking,4073.25
ORD0000108,UPI,500.42
ORD0000109,Cash on Delivery,618.19
ORD0000110,Wallet,1046.1299999999999
ORD0000111,UPI,2742.23
ORD0000112,Card,331.74
ORD0000113,UPI,377.41
ORD0000114,UPI,726.66
ORD0000115,UPI,2196.16
ORD0000116,Cash on Delivery,1576.92
ORD0000117,Wallet,1486.3500000000001
ORD0000118,UPI,387.15
ORD0000119,Net Banking,885.13
ORD0000120,Wallet,181.84
ORD0000121,UPI,2196.27
ORD0000122,Wallet,661.8
ORD0000123,Net Banking,613.74
ORD0000124,Cash on Delivery,3314.08
ORD0000125,UPI,1703.82
ORD0000126,UPI,771.11
ORD0000127,Cash on Delivery,2769.77
ORD0000128,Wallet,431.83
ORD0000129,UPI,5033.200000000001
ORD0000130,Wallet,1039.33
ORD0000131,Net Banking,733.66
ORD0000132,Card,272.57
ORD0000133,Net Banking,1774.99
ORD0000134,Cash on Delivery,1180.91
ORD0000135,UPI,188.14
ORD0000136,Wallet,1391.1299999999999
ORD0000137,UPI,173.36
ORD0000138,Wallet,2086.0
ORD0000139,UPI,681.9
ORD0000140,Cash on Delivery,3067.47
ORD0000141,Cash on Delivery,2423.53
ORD0000142,UPI,1743.57
ORD0000143,Card,483.19
ORD0000144,Net Banking,2312.04
ORD0000145,Cash on Delivery,604.22
ORD0000146,Net Banking,1368.8000000000002
ORD0000147,UPI,1074.6
ORD0000148,Net Banking,1703.82
ORD0000149,Net Banking,2569.27
ORD0000150,Wallet,1281.72
ORD0000151,Card,1367.31
